data,pluvio_id,mm,fazenda
2025-09-16,KRT-027,0.0,KRT
2025-09-16,KRT-028,0.0,KRT
2025-09-16,KRT-029,0.0,KRT
2025-09-16,KRT-030,0.0,KRT
2025-09-16,KRT-031,0.0,KRT
2025-09-16,KRT-032,0.0,KRT
2025-09-16,KRT-033,0.0,KRT
2025-09-16,KRT-034,0.0,KRT
2025-09-16,KRT-035,0.0,KRT
2025-09-16,KRT-036,0.0,KRT
2025-09-16,KRT-037,0.0,KRT
2025-09-16,KRT-038,0.0,KRT
2025-09-16,KRT-039,0.0,KRT
2025-09-16,KRT-040,0.0,KRT
2025-09-16,KRT-041,0.0,KRT
2025-09-16,KRT-042,0.0,KRT
2025-09-16,KRT-043,0.0,KRT
2025-09-16,KRT-044,0.0,KRT
2025-09-16,KRT-045,0.0,KRT
2025-09-16,KRT-046,0.0,KRT
2025-09-16,KRT-047,0.0,KRT
2025-09-16,KRT-048,0.0,KRT
2025-09-16,KRT-049,0.0,KRT
2025-09-16,KRT-050,0.0,KRT
2025-09-16,KRT-051,0.0,KRT
2025-09-16,KRT-052,0.0,KRT
2025-09-16,KRT-053,0.0,KRT
2025-09-16,KRT-054,0.0,KRT
2025-09-16,KRT-055,0.0,KRT
2025-09-16,KRT-056,0.0,KRT
2025-09-16,KRT-057,0.0,KRT
2025-09-16,KRT-058,0.0,KRT
2025-09-16,KRT-059,0.0,KRT
2025-09-16,KRT-060,0.0,KRT
2025-09-16,KRT-061,0.0,KRT
2025-09-16,KRT-062,0.0,KRT
2025-09-16,KRT-063,0.0,KRT
2025-09-16,KRT-064,0.0,KRT
2025-09-16,KRT-065,0.0,KRT
2025-09-16,KRT-066,0.0,KRT
2025-09-16,KRT-067,0.0,KRT
2025-09-16,KRT-068,0.0,KRT
2025-09-16,KRT-069,0.0,KRT
2025-09-16,KRT-070,0.0,KRT
2025-09-16,KRT-071,0.0,KRT
2025-09-16,KRT-072,0.0,KRT
2025-09-16,KRT-073,0.0,KRT
2025-09-16,KRT-074,0.0,KRT
2025-09-17,KRT-001,0.0,KRT
2025-09-17,KRT-002,0.0,KRT
2025-09-17,KRT-003,0.0,KRT
2025-09-17,KRT-004,0.0,KRT
2025-09-17,KRT-005,0.0,KRT
2025-09-17,KRT-006,0.0,KRT
2025-09-17,KRT-007,0.0,KRT
2025-09-17,KRT-008,0.0,KRT
2025-09-17,KRT-009,0.0,KRT
2025-09-17,KRT-010,0.25,KRT
2025-09-17,KRT-011,0.25,KRT
2025-09-17,KRT-012,0.0,KRT
2025-09-17,KRT-013,0.51,KRT
2025-09-17,KRT-014,5.33,KRT
2025-09-17,KRT-015,0.0,KRT
2025-09-17,KRT-016,0.25,KRT
